Console,Game,Collection,Genre,,Time,Score,Video,Speedrun,,,,Active,Done,
GB,The Amazing Spider-Man,,Platformer,,1:04:42,4,https://youtu.be/2GzGiv445AY,,,,,x,x,
GB,The Castlevania Adventure,,Platformer,,,,,,,,,x,,
GB,The Hunchback of the Notre Dame,,Misc.,,,,,,,,,x,,
GB,The Jungle Book,,Platformer,,,,,,,,,x,,
GB,The Legend of Prince Valiant,,Action/Strategy,,,,,,,,,x,,
GB,The Legend of Zelda: Link's Awakening,,Adventure,,,,,,,,,x,,
GB,The Lion King,,Platformer,,0:57:16,3,https://youtu.be/C8FjBkMEfiQ,,,,,x,x,
GB,The Little Mermaid,,Platformer,,,,,,,,,x,,
GB,The Smurfs,,Platformer,,0:55:19,7,https://youtu.be/s_f8by_74dY,,,,,x,x,
GB,Tintin au Tibet,,Platformer,,,,,,,,,x,,
GB,Tiny Toon Adventures: Wacky Sports,,Sports,,1:36:48,5,https://youtu.be/xNyi41Of5vk,,,,,x,x,
GB,Tiny Toon: Bab's Big Break,,Platformer,,,,,,,,,x,,
GB,Tip Off,,Sports,,,,,,,,,x,,
GB,Toy Story,,Platformer,,,,,,,,,x,,
GB,V-Rally,,Racing,,1:10:45,7,https://youtu.be/jiqBqjuGn2M,,,,,x,x,
GB,Wario Land: Super Mario Land 3,,Platformer,,,,,,,,,x,,
GB,Wizards & Warriors X: Fortress of Fear,,Platformer,,,,,,,,,x,,
GB,World Bowling,,Sports,,0:41:10,2,https://youtu.be/3nFhZRUfTCQ,,Partial Completion,,,x,,
GB,World Heroes 2 Jet,,Fighting,,0:55:11,5,https://youtu.be/DtGsAuH3wT0,,,,,x,x,
GB,WWF War Zone,,Fighting,,,,,,,,,x,,
GB,WWF: Superstars,,Fighting,,,,,,,,,x,,
GB,Yoshi's Cookie,,Puzzle,,,,,,,,,x,,
GB,Yū Yū Hakusho Dai-Ni-Dan: Ankoku Bujutsu Kai Hen,,Fighting,,,,,,,,,x,,
GB,Yu-Gi-Oh! Duel Monsters,,Cardgame,,10:29:38,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCu8YgUM3Wwvel-z6IjcHz2,,,,,x,x,
GB,Zoids,,Shmup,,,,,,--- boxart ---,,,x,,
GBA,Banjo-Kazooie: Grunty's Revenge,,Adventure/Platformer,,,,,,,,,x,,
GBA,Big Mutha Truckers,,Racing,,,,,,,,,x,,
GBA,Caesars Palace Advance: Millenium Gold Edition,,Misc.,,,,,,,,,x,,
GBA,Cars,,Racing,,,,,,,,,x,,
GBA,Castlevania: Circle of the Moon,,Adventure/Platformer,,,,,,,,,x,,
GBA,Crash Bandicoot XS,,Platformer,,5:52:00,8,https://youtu.be/0v2Rp61v_wE,,,,,x,x,
GBA,Dogz,,Virtual Pet,,4:57:02,5,https://youtu.be/_8FOyoocy7o,,,,,x,x,
GBA,E-Reader,,Misc.,,,,,,,,,x,,
GBA,Ecks Vs Sever,,FPS,,,,,,,,,x,,
GBA,F-Zero GP Legend,,Racing,,,,,,,,,x,,
